"Date";"Debate title/Bill name";"Debate Type";"link";"Representative"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-08 00:00:00";"Opposed the introduction of The Waqf (Amendment) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Sudip Bandyopadhyay"
"2024-08-02 00:00:00";"Demand to be withdrawn GST immediately from life insurance premium and medicines";"Special Mention";"/mptrack/debatenotfound";"Sudip Bandyopadhyay"
"2024-07-30 00:00:00";"Request to minister to submit a report on the railway safety";"Special Mention";"/mptrack/debatenotfound";"Sudip Bandyopadhyay"
"2024-08-08 00:00:00";"Request to minister kindly pay attention towards irregularities are increasing by NHAI during the widening of national highway in mainpuri";"Special Mention";"/mptrack/debatenotfound";"Dimple Yadav"
"2024-07-29 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Dimple Yadav"
"2024-08-02 00:00:00";"Regarding setting up of Ahir Regiment";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Dharambir Singh"
"2024-08-02 00:00:00";"Regarding request to start a train from Bhiwani to Hawda, Ayodhya and Haridwar and need the stoppage of trains in Mahendragarh";"Special Mention";"/mptrack/debatenotfound";"Dharambir Singh"
"2024-07-01 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Dharambir Singh"
"2024-07-26 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Jai Prakash"
"2024-08-09 00:00:00";"Request to govt. that the claim with interest for the year 2021 should be alloted to the farmers as soon as possible";"Special Mention";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-08-06 00:00:00";"Regarding power situation in Rajasthan";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-08-02 00:00:00";"Regarding the unpaved roads of Rajasthan";"Special Mention";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-08-01 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-07-29 00:00:00";"Request to minister to re-start the korba-gevra road passenger train and start pit line at korba";"Special Mention";"/mptrack/debatenotfound";"Rahul Kaswan"
"2024-07-29 00:00:00";"Request to govt provide different budget for strengthen the panchayats";"Special Mention";"/mptrack/debatenotfound";"Rahul Kaswan"
