"Date";"Title";"Type";"Ministry or Category";"link";"Representative"
"2024-12-20";"Sanitary Products for Tribal Women";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4276_heCax2.pdf?source=pqals";"Kadiyam Kavya"
"2024-12-20";"Family Planning and Population Control";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4260_kC0Who.pdf?source=pqals";"Sougata Ray"
"2024-12-20";"Supply of Urea and DAP in A & N Islands";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4280_nOiZVT.pdf?source=pqals";"Bishnu Pada Ray"
"2024-12-20";"Public Health Emergency Management Act";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4330_W2w8Wa.pdf?source=pqals";"Bhola Singh"
"2024-12-20";"Artificial Intelligence in Judiciary";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4335_mIFSf8.pdf?source=pqals";"Bhola Singh"
"2024-12-20";"Public Health Emergency Management Act";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4330_W2w8Wa.pdf?source=pqals";"Kamaljeet Sehrawat"
"2024-12-20";"Scheme for Holistic Health and Nutrition";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4175_eOhXQ6.pdf?source=pqals";"Kamaljeet Sehrawat"
"2024-12-20";"Artificial Intelligence in Judiciary";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4335_mIFSf8.pdf?source=pqals";"P P Chaudhary"
"2024-12-20";"Development of Infrastructure for Ship Building";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4158_J0d5Dp.pdf?source=pqals";"P P Chaudhary"
"2024-12-20";"Training of Maldivian Civil Servants";"Unstarred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4153_2a6RYs.pdf?source=pqals";"P P Chaudhary"
"2024-12-20";"AYUSH Packages for Non-Communicable Diseases";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4159_NlzJ9D.pdf?source=pqals";"Bhartruhari Mahtab"
"2024-12-20";"Training of Maldivian Civil Servants";"Unstarred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4153_2a6RYs.pdf?source=pqals";"Bhartruhari Mahtab"
"2024-12-20";"Transparency in Allocation of Cases to Panel Counsels";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4149_ee7ckA.pdf?source=pqals";"Bhartruhari Mahtab"
"2024-12-20";"Medical College in Gurdaspur";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4170_Sql5rI.pdf?source=pqals";"Sukhjinder Singh Randhawa"
"2024-12-20";"Acquisition of Road under Ministry";"Unstarred";"Defence";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4344_XzyP9q.pdf?source=pqals";"Sukhjinder Singh Randhawa"
"2024-12-20";"Prevention of Sexual Violence";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4324_cznDeD.pdf?source=pqals";"Sukanta Kumar Panigrahi"
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Bhaskar Murlidhar Bhagare"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Bhaskar Murlidhar Bhagare"
"2024-12-20";"Nutrition Programs and Saksham Anganwadi";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4182_vp3hZq.pdf?source=pqals";"P V Midhun Reddy"
"2024-12-20";"AYUSH Medicine for Cancer Patients";"Starred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS368_wOacj7.pdf?source=pqals";"Sudheer Gupta"
"2024-12-20";"Production Capacity of Nano Urea";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4347_8SvEMI.pdf?source=pqals";"Sudheer Gupta"
"2024-12-20";"Observation of Supreme Court on SC and ST Reservation in Jobs";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4216_xaDEMC.pdf?source=pqals";"Bhausaheb Rajaram Wakchaure"
"2024-12-20";"National Health Mission in Chhattisgarh";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4203_LzTCyy.pdf?source=pqals";"Bhojraj Nag"
"2024-12-20";"AYUSH Centres in Chhattisgarh";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4370_fgJ0Av.pdf?source=pqals";"Bhojraj Nag"
"2024-12-20";"Inland Waterway in Odisha";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4286_ShlAsi.pdf?source=pqals";"Avimanyu Sethi"
"2024-12-20";"Ethical Standards in Clinical Trials";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4351_nH4CN9.pdf?source=pqals";"T Sumathy Alias Thamizhachi Thangapandian"
"2024-12-20";"Shortage of Raw Material for";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4160_qEOqC0.pdf?source=pqals";"K Sudhakar"
"2024-12-20";"Speedy Trials in Terrorism Incidents";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4142_BpHm8U.pdf?source=pqals";"Anil Yeshwant Desai"
"2024-12-20";"Shortage of Containers for Export";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4179_EkZcfm.pdf?source=pqals";"Maddila Gurumoorthy"
"2024-12-20";"Coastal Economic Zones";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4362_LBySmM.pdf?source=pqals";"Maddila Gurumoorthy"
"2024-12-20";"Schemes for Unmarried Women";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4369_Ld824O.pdf?source=pqals";"Murari Lal Meena"
"2024-12-20";"Recommendation for Appointment of Judges in High Courts";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4202_LHqtQN.pdf?source=pqals";"Murari Lal Meena"
"2024-12-20";"Indian Fishermen Detained in Pakistan Jails";"Unstarred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4229_Qyxzqg.pdf?source=pqals";"Kalanidhi Veeraswamy"
"2024-12-20";"Promotion of Indian Traditional Medicine System";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4299_kcgER9.pdf?source=pqals";"Anil Firojiya"
"2024-12-20";"Separate High Court for Haryana";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4293_ZQbVsN.pdf?source=pqals";"Varun Chaudhry"
"2024-12-20";"Indian Festivals in African Countries";"Unstarred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4329_FhRuf5.pdf?source=pqals";"Anil Yeshwant Desai"
"2024-12-20";"Child Abuse in Shelter Homes";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4308_iPfcNg.pdf?source=pqals";"Vamsi Krishna Gaddam"
"2024-12-20";"Irregularities in Election";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4270_zAbUA6.pdf?source=pqals";"Anand Bhadauria"
"2024-12-20";"Acute Encephalitis Syndrome in Children";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4363_iJznhY.pdf?source=pqals";"Anita Subhadarshini"
"2024-12-20";"Cases of Type-2 Diabetes";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4337_RcWpO9.pdf?source=pqals";"Anto Antony"
"2024-12-20";"Suicide Cases in Medical Institutions";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4157_ITKjZY.pdf?source=pqals";"Anto Antony"
"2024-12-20";"AYUSH Hospitals in Kolar";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4156_8CFqKa.pdf?source=pqals";"M Mallesh Babu"
"2024-12-20";"Nano Urea";"Unstarred";"Chemicals and Fertilizers";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4227_qHnixV.pdf?source=pqals";"Murasoli S"
"2024-12-20";"Setting up of Cancer Hospital in Tamil Nadu";"Starred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS365_mIzieY.pdf?source=pqals";"M K Vishnu Prasad"
"2024-12-20";"Establishment of Gram Nyayalaya";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4272_XimJwQ.pdf?source=pqals";"N K Premachandran"
"2024-12-20";"Child Care Institutions";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4256_n8nOB4.pdf?source=pqals";"Anup Sanjay Dhotre"
"2024-12-20";"Health Facilities in Odisha";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4258_5ZpFLp.pdf?source=pqals";"Ananta Nayak"
"2024-12-20";"Wind-assisted Ships";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4284_BMt9lH.pdf?source=pqals";"Madhavaneni Raghunandan Rao"
"2024-12-20";"Financial Support to Tamil Nadu under NRHM";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4167_Xo8pj3.pdf?source=pqals";"T Sumathy Alias Thamizhachi Thangapandian"
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Mohite Patil Dhairyasheel Rajsinh"
"2024-12-20";"Upgradation and Construction of Hospitals in Madhya Pradesh";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4144_KoaHM2.pdf?source=pqals";"Alok Sharma"
"2024-12-20";"Nutritional Food for Women and Children";"Starred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS379_ASvxC8.pdf?source=pqals";"Malvika Devi"
"2024-12-20";"Certified AYUSH Health Professionals";"Unstarred";"AYUSH";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4339_XjqqRg.pdf?source=pqals";"Malvika Devi"
"2024-12-20";"Anganwadi Services Scheme";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4333_skbl1j.pdf?source=pqals";"Amar Sharadrao Kale"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Amar Sharadrao Kale"
"2024-12-20";"Outcome of PM's Visit to Nigeria, Brazil and Guyana";"Starred";"External Affairs";"https://sansad.in/getFile/loksabhaquestions/annex/183/AS374_RKeNUU.pdf?source=pqals";"Mallu Ravi"
"2024-12-20";"Mega Ports by 2047";"Unstarred";"Ports, Shipping and Waterways";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4194_WOMMgn.pdf?source=pqals";"Malaiyarasan D"
"2024-12-20";"New Criminal Law Legislations";"Unstarred";"Law and Justice";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4253_JJuszP.pdf?source=pqals";"Vishaldada Prakashbapu Patil"
"2024-12-20";"Claims Settlement under AB-PMJAY";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4151_rfD19c.pdf?source=pqals";"Mohite Patil Dhairyasheel Rajsinh"
"2024-12-20";"Medical Institutions in Rajasthan";"Unstarred";"Health and Family Welfare";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4268_zynmI1.pdf?source=pqals";"Amra Ram"
"2024-12-20";"Status of Mission Shakti in Andhra Pradesh";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4212_B1fBR3.pdf?source=pqals";"G Lakshminarayana"
"2024-12-20";"Protection of Girls";"Unstarred";"Women and Child Development";"https://sansad.in/getFile/loksabhaquestions/annex/183/AU4195_UJvDJs.pdf?source=pqals";"Vijayakumar Alias Vijay Vasanth"
